year,country,location,tests
1987,United States,underground,14
1988,China,underground,1
1988,France,underground,8
1988,Russia,underground,16
1988,United States,underground,15
1989,France,underground,9
1989,Russia,lab,2
1989,Russia,underground,7
1989,United Kingdom,underground,1
1989,United States,underground,11
1990,China,underground,2
1990,France,underground,6
1990,Russia,underground,1
1990,United Kingdom,underground,1
1990,United States,underground,8
1991,France,underground,6
1991,United Kingdom,underground,1
1991,United States,underground,7
1992,China,underground,2
1992,United States,underground,6
1993,China,lab,1
1993,China,underground,1
1994,China,underground,2
1995,China,lab,1
1995,China,underground,2
1995,France,underground,5
1995,Russia,lab,1
1996,China,underground,2
1996,France,underground,1
1997,United States,lab,2
1998,India,underground,2
1998,Pakistan,underground,2
1998,Russia,lab,5
1998,United States,lab,3
1999,China,lab,1
1999,Russia,lab,7
1999,United States,lab,3
2000,Russia,lab,5
2000,United States,lab,5
2001,China,lab,4
2001,United States,lab,2
2002,United Kingdom,lab,1
2002,United States,lab,3
2003,United States,lab,2
2006,North Korea,underground,1
2006,United Kingdom,lab,1
2006,United States,lab,1
2009,North Korea,underground,1
2013,North Korea,underground,1
2016,North Korea,underground,2
2017,North Korea,underground,1
